subject  sessionIndex  rep              H.h           DD.h.e           UD.h.e              H.e           DD.e.s           UD.e.s              H.s           DD.s.t           UD.s.t              H.t           DD.t.e           UD.t.e            H.e.1           DD.e.r           UD.e.r              H.r      DD.r.Return      UD.r.Return         H.Return
   s002             2   33           0.0813           0.0836           0.0023           0.2201           0.0890          -0.1311           0.1325           0.1084          -0.0241           0.0689           0.1259           0.0570           0.1154           0.0697          -0.0457           0.1289           0.1703           0.0414           0.0961
   s002             2   34           0.0803           0.1502           0.0699           0.1568           0.0919          -0.0649           0.1698           0.1235          -0.0463           0.1278           0.1418           0.0140           0.1402           0.0995          -0.0407           0.1046           0.1267           0.0221           0.0993
   s002             2   35           0.0821           0.1425           0.0604           0.1642           0.1043          -0.0599           0.1806           0.1819           0.0013           0.1344           0.1529           0.0185           0.1710           0.1235          -0.0475           0.0964           0.2188           0.1224           0.0998
   s002             2   36           0.0755           0.1063           0.0308           0.2064           0.1096          -0.0968           0.1392           0.0982          -0.0410           0.0726           0.1460           0.0734           0.1249           0.0731          -0.0518           0.1270           0.1615           0.0345           0.0905
   s002             2   37           0.0718           0.1198           0.0480           0.1486           0.0998          -0.0488           0.1687           0.1375          -0.0312           0.0995           0.6851           0.5856           0.1687           0.1040          -0.0647           0.1254           0.2122           0.0868           0.0921
   s002             2   38           0.0726           0.0982           0.0256           0.1884           0.1254          -0.0630           0.1507           0.0923          -0.0584           0.1272           0.1251          -0.0021           0.1669           0.1299          -0.0370           0.1009           0.0797          -0.0212           0.0853
   s002             2   39           0.0845           0.1409           0.0564           0.2212           0.1397          -0.0815           0.1439           0.1037          -0.0402           0.1201           0.1616           0.0415           0.2075           0.1623          -0.0452           0.1442           0.1698           0.0256           0.1069
   s002             2   40           0.0790           0.0710          -0.0080           0.2279           0.1611          -0.0668           0.1371           0.0464          -0.0907           0.1408           0.1963           0.0555           0.1362           0.0971          -0.0391           0.1033           0.1832           0.0799           0.0932
   s002             2   41           0.0824           0.1106           0.0282           0.2476           0.1194          -0.1282           0.1468           0.0757          -0.0711           0.1331           0.1487           0.0156           0.1784           0.1024          -0.0760           0.1558           0.1211          -0.0347           0.1162
   s002             2   42           0.0792           0.0837           0.0045           0.2115           0.0882          -0.1233           0.1303           0.0987          -0.0316           0.0838           0.1205           0.0367           0.1526           0.0818          -0.0708           0.1447           0.1618           0.0171           0.0971
   s002             2   43           0.0739           0.1926           0.1187           0.2743           0.0690          -0.2053           0.1088           0.1520           0.0432           0.1904           0.1782          -0.0122           0.1701           0.1326          -0.0375           0.1043           0.1539           0.0496           0.0805
   s002             2   44           0.0977           0.0931          -0.0046           0.1674           0.1147          -0.0527           0.1554           0.1155          -0.0399           0.0985           0.1537           0.0552           0.1225           0.0665          -0.0560           0.1112           0.1581           0.0469           0.0979
   s002             2   45           0.0795           0.1468           0.0673           0.1731           0.1064          -0.0667           0.1399           0.0844          -0.0555           0.1312           0.1397           0.0085           0.1644           0.1177          -0.0467           0.1399           0.1779           0.0380           0.0964
   s002             2   46           0.0679           0.1188           0.0509           0.2313           0.1144          -0.1169           0.0919           0.0657          -0.0262           0.1122           0.1209           0.0087           0.2022           0.1159          -0.0863           0.1787           0.1829           0.0042           0.1077
   s002             2   47           0.0874           0.0783          -0.0091           0.1516           0.0883          -0.0633           0.1202           0.0900          -0.0302           0.0877           0.1371           0.0494           0.1230           0.0789          -0.0441           0.1104           0.1196           0.0092           0.0787
   s002             2   48           0.0734           0.1605           0.0871           0.2255           0.1223          -0.1032           0.1350           0.0818          -0.0532           0.1149           0.1445           0.0296           0.1291           0.0887          -0.0404           0.1135           0.1248           0.0113           0.0739
   s002             2   49           0.0760           0.1609           0.0849           0.2511           0.1173          -0.1338           0.1225           0.0530          -0.0695           0.1363           0.1947           0.0584           0.0935           0.0515          -0.0420           0.1194           0.1239           0.0045           0.0927
   s002             2   50           0.0861           0.1842           0.0981           0.2233           0.0861          -0.1372           0.1384           0.0923          -0.0461           0.1213           0.1604           0.0391           0.1262           0.0726          -0.0536           0.1178           0.1166          -0.0012           0.1099
   s002             3    1           0.0821           0.0858           0.0037           0.1489           0.1115          -0.0374           0.1518           0.0976          -0.0542           0.1040           0.1587           0.0547           0.1325           0.0887          -0.0438           0.0958           0.1016           0.0058           0.0744
   s002             3    2           0.0671           0.0716           0.0045           0.1928           0.1059          -0.0869           0.1432           0.0834          -0.0598           0.0983           0.1627           0.0644           0.1151           0.0784          -0.0367           0.0898           0.1156           0.0258           0.0784
   s002             3    3           0.0871           0.1322           0.0451           0.2194           0.1809          -0.0385           0.0970           0.0684          -0.0286           0.1328           0.3447           0.2119           0.1251           0.0908          -0.0343           0.0816           0.1330           0.0514           0.0895
   s002             3    4           0.0797           0.0944           0.0147           0.1495           0.0851          -0.0644           0.1300           0.0945          -0.0355           0.0859           0.1363           0.0504           0.1122           0.0805          -0.0317           0.1003           0.1114           0.0111           0.0607
   s002             3    5           0.0977           0.1573           0.0596           0.1858           0.1188          -0.0670           0.1542           0.0311          -0.1231           0.2062           0.2725           0.0663           0.1262           0.0800          -0.0462           0.1046           0.1650           0.0604           0.0721
   s002             3    6           0.0660           0.1417           0.0757           0.2128           0.1049          -0.1079           0.1365           0.0889          -0.0476           0.1104           0.1542           0.0438           0.1483           0.1082          -0.0401           0.1006           0.0804          -0.0202           0.0851
   s002             3    7           0.0597           0.1723           0.1126           0.2078           0.1162          -0.0916           0.1284           0.0683          -0.0601           0.1171           0.1599           0.0428           0.1486           0.0958          -0.0528           0.1210           0.1061          -0.0149           0.0774
   s002             3    8           0.0721           0.0742           0.0021           0.1803           0.1088          -0.0715           0.1160           0.0734          -0.0426           0.0684           0.1392           0.0708           0.1067           0.0631          -0.0436           0.0993           0.1151           0.0158           0.0821
   s002             3    9           0.1008           0.2195           0.1187           0.2059           0.1223          -0.0836           0.1257           0.0667          -0.0590           0.1004           0.1553           0.0549           0.1296           0.1061          -0.0235           0.0679           0.0667          -0.0012           0.0835
   s002             3   10           0.0797           0.1557           0.0760           0.2118           0.1115          -0.1003           0.1474           0.0834          -0.0640           0.1051           0.1553           0.0502           0.1173           0.0832          -0.0341           0.1101           0.1222           0.0121           0.0747
   s002             3   11           0.0747           0.1607           0.0860           0.2336           0.1281          -0.1055           0.1375           0.0873          -0.0502           0.1214           0.1726           0.0512           0.1212           0.0842          -0.0370           0.1035           0.1320           0.0285           0.0832
   s002             3   12           0.0903           0.0974           0.0071           0.2099           0.1291          -0.0808           0.1207           0.0641          -0.0566           0.0890           0.1492           0.0602           0.1017           0.0576          -0.0441           0.1188           0.1744           0.0556           0.0781
   s002             3   13           0.0876           0.1654           0.0778           0.2083           0.1215          -0.0868           0.1376           0.0609          -0.0767           0.1068           0.1512           0.0444           0.1175           0.0998          -0.0177           0.1122           0.1433           0.0311           0.0847
   s002             3   14           0.0982           0.1354           0.0372           0.3143           0.2262          -0.0881           0.1331           0.0641          -0.0690           0.1392           0.1949           0.0557           0.1270           0.0829          -0.0441           0.1091           0.1061          -0.0030           0.0832
   s002             3   15           0.0837           0.1079           0.0242           0.1819           0.1268          -0.0551           0.1389           0.0654          -0.0735           0.0911           0.1452           0.0541           0.1415           0.1066          -0.0349           0.1257           0.1135          -0.0122           0.0639
   s002             3   16           0.0816           0.1024           0.0208           0.1825           0.1144          -0.0681           0.1204           0.0572          -0.0632           0.0943           0.1294           0.0351           0.1381           0.0985          -0.0396           0.1254           0.1512           0.0258           0.0599
   s002             3   17           0.0752           0.1831           0.1079           0.2004           0.1252          -0.0752           0.1270           0.0620          -0.0650           0.1370           0.1616           0.0246           0.1521           0.1151          -0.0370           0.1171           0.1159          -0.0012           0.0938
   s002             3   18           0.0847           0.2100           0.1253           0.1930           0.1342          -0.0588           0.1563           0.1119          -0.0444           0.0961           0.1508           0.0547           0.1122           0.0829          -0.0293           0.1024           0.1050           0.0026           0.0974
   s002             3   19           0.0766           0.1417           0.0651           0.1906           0.1334          -0.0572           0.1418           0.0699          -0.0719           0.1191           0.1822           0.0631           0.1421           0.1043          -0.0378           0.1093           0.1679           0.0586           0.0998
   s002             3   20           0.0818           0.0921           0.0103           0.1996           0.1397          -0.0599           0.1574           0.1264          -0.0310           0.1041           0.1551           0.0510           0.1579           0.1201          -0.0378           0.1059           0.6761           0.5702           0.0768
   s002             3   21           0.0916           0.1261           0.0345           0.2120           0.1640          -0.0480           0.1413           0.2571           0.1158           0.1317           0.1837           0.0520           0.1362           0.1016          -0.0346           0.0848           0.0794          -0.0054           0.0861
   s002             3   22           0.0758           0.1169           0.0411           0.2024           0.1394          -0.0630           0.1162           0.0644          -0.0518           0.0826           0.1338           0.0512           0.1191           0.0916          -0.0275           0.1049           0.1149           0.0100           0.0618
   s002             3   23           0.0705           0.1692           0.0987           0.2009           0.1072          -0.0937           0.1247           0.0805          -0.0442           0.0943           0.1722           0.0779           0.0845           0.0620          -0.0225           0.1057           0.1402           0.0345           0.0721
   s002             3   24           0.0784           0.2024           0.1240           0.2313           0.1392          -0.0921           0.1384           0.0720          -0.0664           0.1107           0.1962           0.0855           0.1215           0.0924          -0.0291           0.1120           0.1349           0.0229           0.0723
   s002             3   25           0.1000           0.1559           0.0559           0.2368           0.1252          -0.1116           0.1318           0.0641          -0.0677           0.1233           0.1376           0.0143           0.1830           0.1320          -0.0510           0.1397           0.1325          -0.0072           0.0940
   s002             3   26           0.0871           0.2098           0.1227           0.2863           0.1663          -0.1200           0.1671           0.1002          -0.0669           0.1291           0.1922           0.0631           0.1334           0.0956          -0.0378           0.1400           0.1590           0.0190           0.0916
   s002             3   27           0.0879           0.1124           0.0245           0.2456           0.1049          -0.1407           0.1265           0.0929          -0.0336           0.0811           0.1431           0.0620           0.1391           0.0995          -0.0396           0.1521           0.1319          -0.0202           0.1051
   s002             3   28           0.0620           0.1303           0.0683           0.2217           0.1257          -0.0960           0.1645           0.1259          -0.0386           0.1489           0.1642           0.0153           0.1486           0.1111          -0.0375           0.1093           0.1259           0.0166           0.0961
